accn|cik|entityName|loc|end|val
0000866273-20-000109|866273|MATRIX SERVICE CO|US-OK|2019-06-30|114647000
0000866374-19-000010|866374|FLEX LTD.|SG-|2019-06-28|5193043000
0001683168-19-002552|866439|DARKPULSE, INC.|US-NY|2019-06-30|169643
0000866609-19-000077|866609|ION Geophysical Corporation|US-TX|2019-06-30|36399000
0001144204-19-038765|866706|ESCO TECHNOLOGIES INC.|US-MO|2019-06-30|59329000
0000866729-20-000010|866729|SCHOLASTIC CORPORATION|US-NY|2019-05-31|195300000
0000866829-19-000026|866829|HELIX ENERGY SOLUTIONS GROUP, INC.|US-TX|2019-06-30|76536000
0001493152-19-012839|867028|FOMO CORP.|US-IL|2019-06-30|26800
0000867773-19-000047|867773|SUNPOWER CORP|US-CA|2019-06-30|398071000
0001683168-20-003264|867840|PRECISION OPTICS CORPORATION, INC.|US-MA|2019-06-30|1174263
0001437749-19-016475|868082|EVERFLOW EASTERN PARTNERS LP|US-OH|2019-06-30|2085986
0001493152-19-012065|868278|ProPhase     Labs, Inc.|US-NY|2019-06-30|442000
0001564590-19-027535|868780|Dorman Products, Inc.|US-PA|2019-06-29|102307000
0001410578-19-000699|868857|AECOM|US-TX|2019-06-30|2609905000
0001654954-19-009605|869531|ADVANTEGO CORP|US-CO|2019-06-30|111725
0000870826-19-000014|870826|iMedia Brands, Inc.|US-MN|2019-08-03|62457000
0000872248-19-000016|872248|PETROQUEST ENERGY INC|US-LA|2019-06-30|28416000
0001564590-19-030871|872912|DELCATH SYSTEMS, INC.|US-NY|2019-06-30|10713000
0001564590-19-030035|873303|Sarepta Therapeutics, Inc.|US-MA|2019-06-30|44045000
0001140361-19-014492|874015|IONIS PHARMACEUTICALS, INC.|US-CA|2019-06-30|15628000
0000874238-19-000104|874238|STERLING CONSTRUCTION COMPANY, INC.|US-TX|2019-06-30|101342000
0001445260-19-000054|874292|ADDVANTAGE TECHNOLOGIES GROUP, INC.|US-TX|2019-06-30|6856372
0001193125-19-216594|874396|LIFETIME BRANDS, INC.|US-NY|2019-06-30|48495000
0001104659-20-109282|874710|ALLIED HEALTHCARE PRODUCTS, INC.|US-MO|2019-06-30|1469232
0000874716-19-000033|874716|IDEXX LABORATORIES INC /DE|US-ME|2019-06-30|67606000
0000874761-19-000048|874761|THE AES CORPORATION|US-VA|2019-06-30|1234000000
0001564590-19-028793|874866|CORVEL CORPORATION|US-TX|2019-06-30|17932000
0000875045-19-000029|875045|Biogen Inc.|US-MA|2019-06-30|377100000
0000875320-19-000037|875320|VERTEX PHARMACEUTICALS INC / MA|US-MA|2019-06-30|77045000
0001654954-19-009056|875355|INSIGNIA SYSTEMS INC/MN|US-MN|2019-06-30|2801000
0001171843-19-004479|875582|Northern Technologies International Corporation|US-MN|2019-05-31|4458928
0001437749-19-015102|875657|ULTRALIFE CORPORATION|US-NY|2019-06-30|14179000
0000876167-19-000102|876167|PROGRESS SOFTWARE CORP /MA|US-MA|2019-05-31|9541000
0001493152-19-011906|876343|Lineage Cell Therapeutics, Inc.|US-CA|2019-06-30|2778000
0000876378-19-000008|876378|Asensus Surgical, Inc.|US-NC|2019-06-30|7039000
0000876427-19-000004|876427|MONRO, INC.|US-NY|2019-06-29|104828000
0000876883-19-000015|876883|STAGWELL INC.|US-NY|2019-06-30|228069000
0000877212-19-000031|877212|ZEBRA TECHNOLOGIES CORPORATION|US-IL|2019-06-29|472000000
0001564590-19-032743|877422|SPARTANNASH COMPANY|US-MI|2019-07-13|406896000
0000877890-19-000210|877890|CITRIX SYSTEMS INC|US-FL|2019-06-30|96768000
0000878004-19-000017|878004|CHUGACH ELECTRIC ASSOCIATION INC|US-AK|2019-06-30|8662054
0000878526-19-000122|878526|Natus Medical Inc|US-CA|2019-06-30|25235000
0001564590-20-043372|878726|TUESDAY MORNING CORP/DE|US-TX|2019-06-30|91251000
0001493152-19-012108|878828|Wireless Telecom Group, Inc.|US-NJ|2019-06-30|5266000
0001564590-19-029912|878927|OLD DOMINION FREIGHT LINE, INC.|US-NC|2019-06-30|85125000
0001558370-19-006550|879169|INCYTE CORP|US-DE|2019-06-30|66184000
0001564590-19-028760|879407|Arrowhead Pharmaceuticals, Inc.|US-CA|2019-06-30|4630244
0000879526-19-000052|879526|WABASH NATIONAL CORPORATION|US-IN|2019-06-30|200641000
0001437749-19-016049|879682|VIVEVE MEDICAL, INC.|US-CO|2019-06-30|1606000
0001213900-19-015820|879911|APPLIED ENERGETICS, INC.|US-AZ|2019-06-30|612828
0001193125-20-224715|880117|SANFILIPPO JOHN B & SON INC|US-IL|2019-06-27|42552000
0001437749-19-016826|880242|BIOLARGO, INC.|US-CA|2019-06-30|328000
0000880266-19-000033|880266|AGCO CORP /DE|US-GA|2019-06-30|931400000
0001493152-20-017221|880432|MISONIX, INC.|US-NY|2019-06-30|5357736
0001437749-19-015632|880807|AMERICAN SUPERCONDUCTOR CORP /DE/|US-MA|2019-06-30|4088000
0001493152-19-012545|880984|ACORN ENERGY, INC.|US-DE|2019-06-30|313000
0001558370-19-007219|881524|VIVUS INC|US-CA|2019-06-30|3800000
0000882095-19-000020|882095|GILEAD SCIENCES, INC.|US-CA|2019-06-30|617000000
0000882104-19-000089|882104|PDL BIOPHARMA, INC.|US-NV|2019-06-30|14812000
0001683168-19-002638|882291|AETHLON MEDICAL, INC.|US-CA|2019-06-30|276116
0001171843-19-005214|882361|Aptose Biosciences Inc.|CA-ON|2019-06-30|1240000
0001171843-19-005326|882796|BioCryst Pharmaceuticals, Inc.|US-NC|2019-06-30|8298000
0001493152-19-012992|882800|PACIFIC VENTURES GROUP, INC.|US-CA|2019-06-30|802181
0001387131-19-006135|883107|NANOPHASE TECHNOLOGIES CORPORATION|US-IL|2019-06-30|1423000
0000883241-19-000015|883241|SYNOPSYS INC|US-CA|2019-07-31|14846000
0000883569-19-000031|883569|FOSSIL GROUP, INC.|US-TX|2019-06-29|178508000
0000883902-19-000043|883902|Cornerstone Building Brands, Inc.|US-NC|2019-06-29|241808000
0000883943-19-000082|883943|CHRISTOPHER & BANKS CORP|US-MN|2019-08-03|27098000
0000883945-19-000117|883945|USA TRUCK INC.|US-AR|2019-06-30|23773000
0001493152-19-012348|883975|MICROBOT MEDICAL INC.|US-MA|2019-06-30|179000
0000883984-19-000029|883984|ICU MEDICAL INC/DE|US-CA|2019-06-30|131190000
0000884144-19-000016|884144|ASURE SOFTWARE, INC.|US-TX|2019-06-30|5821000
0001558370-19-008580|884217|TAILORED BRANDS INC|US-TX|2019-08-03|187946000
0001564590-19-028396|884219|Viad Corp|US-AZ|2019-06-30|100312000
0001437749-19-015585|884269|ALPHA PRO TECH LTD|CA-ON|2019-06-30|696000
0000884614-20-000045|884614|UGI Corp|US-PA|2019-06-30|444400000
0001564590-19-028764|884624|ORTHOFIX MEDICAL INC.|US-TX|2019-06-30|19523000
0001654954-19-009540|884650|INFINITE GROUP, INC.|US-NY|2019-06-30|284016
0000884887-19-000042|884887|ROYAL CARIBBEAN CRUISES LTD.|US-FL|2019-06-30|531788000
0001564590-19-034371|884940|STEIN MART INC|US-FL|2019-08-03|87301000
0001437749-19-020070|885074|AEON GLOBAL HEALTH CORP.|GE-|2019-06-30|2087038
0000885245-19-000030|885245|BUCKLE, INC|US-NE|2019-08-03|42531000
0001217160-19-000074|885307|JEWETT-CAMERON TRADING CO LTD|US-OR|2019-05-31|643340
0001193805-19-000746|885462|Gulf Resources, Inc.|CN-|2019-06-30|389780
0001564590-19-029833|885568|OLD DOMINION ELECTRIC COOPERATIVE|US-VA|2019-06-30|114303000
0000885590-19-000026|885590|Bausch Health Companies Inc.|CA-QC|2019-06-30|527000000
0001564590-20-042509|885639|KOHL’S CORP|US-WI|2019-08-03|1330000000
0000885725-19-000040|885725|BOSTON SCIENTIFIC CORPORATION|US-MA|2019-06-30|524000000
0001564590-19-034309|886128|FUELCELL ENERGY, INC.|US-CT|2019-07-31|30250000
0001144204-19-038874|886136|SAGA COMMUNICATIONS, INC|US-MI|2019-06-30|1840000
0000886158-19-000020|886158|BED BATH & BEYOND INC|US-NJ|2019-06-01|1066282000
0000886163-19-000156|886163|LIGAND PHARMACEUTICALS INCORPORATED|US-CA|2019-06-30|2888000
0000886206-19-000020|886206|Franklin Covey Co.|US-UT|2019-05-31|7428000
0000886346-19-000124|886346|KADANT INC|US-MA|2019-06-29|41974000
0001564590-19-027946|886744|GERON CORPORATION|US-CA|2019-06-30|1210000
0000886835-19-000014|886835|SUPERIOR ENERGY SERVICES INC|US-TX|2019-06-30|95894000
0001171843-19-005445|887151|CAPSTONE THERAPEUTICS CORP.|US-AZ|2019-06-30|797000
0001564590-20-044833|887226|PERCEPTRON INC/MI|US-MI|2019-06-30|7397000
0001387131-19-005888|887247|ADAMIS PHARMACEUTICALS CORPORATION|US-CA|2019-06-30|4271095
0001628280-19-010077|887359|VERICEL CORPORATION|US-MA|2019-06-30|5250000
0001072613-19-000260|887396|EMPIRE PETROLEUM CORPORATION|US-OK|2019-06-30|733963
0001410578-19-000660|887596|THE CHEESECAKE FACTORY INCORPORATED|US-CA|2019-07-02|35960000
0000887733-20-000012|887733|CENTRAL GARDEN & PET CO|US-CA|2019-06-29|137668000
0000887921-19-000014|887921|Revlon, Inc.|US-NY|2019-06-30|393900000
0001553350-19-000805|888981|NOCOPI TECHNOLOGIES, INC.|US-PA|2019-06-30|42900
0000889331-19-000042|889331|LITTELFUSE INC /DE|US-IL|2019-06-29|123058000
0001387131-20-007873|889348|CPI AEROSTRUCTURES, INC.|US-NY|2019-06-30|11540234
0001564590-19-026586|889900|Patterson-UTI Energy, Inc.|US-TX|2019-06-30|242166000
0001654954-20-009993|889971|LIGHTPATH TECHNOLOGIES, INC.|US-FL|2019-06-30|2227768
0001193125-19-219923|890394|MOSYS, INC.|US-CA|2019-06-30|88000
0001628280-19-010191|890447|VERTEX ENERGY, INC.|US-TX|2019-06-30|8273479
0000890547-19-000009|890547|REVLON CONSUMER PRODUCTS CORP|US-NY|2019-06-30|393900000
0000890564-19-000069|890564|ASGN Inc|US-VA|2019-06-30|24100000
0001140361-19-014987|890821|ENVERIC BIOSCIENCES, INC.|US-FL|2019-06-30|4946381
0001140361-19-014126|891014|MINERALS TECHNOLOGIES INC|US-NY|2019-06-30|188200000
0000891024-19-000011|891024|PATTERSON COMPANIES, INC.|US-MN|2019-07-27|625435000
0000891293-19-000058|891293|CTI BIOPHARMA CORP.|US-WA|2019-06-30|1095000
0001493152-20-000372|891417|NANO MAGIC HOLDINGS INC.|US-MI|2019-06-30|1243226
0000891482-19-000025|891482|FULL HOUSE RESORTS, INC.|US-NV|2019-06-30|4549000
0001493152-19-011857|891532|PERMA FIX ENVIRONMENTAL SERVICES INC|US-GA|2019-06-30|9640000
0000892222-19-000084|892222|CRAFT BREW ALLIANCE, INC.|US-OR|2019-06-30|19489000
0000892553-19-000108|892553|CHART INDUSTRIES, INC.|US-GA|2019-06-30|114000000
0001144204-19-039289|892832|SANDSTON CORP|US-MI|2019-06-30|23202
0000893691-19-000059|893691|Masonite International Corporation|CA-ON|2019-06-30|101920000
0001193125-19-210927|893949|Mednax, Inc.|US-FL|2019-06-30|32386000
0001144204-19-038590|894158|SYNTHETIC BIOLOGICS, INC.|US-MD|2019-06-30|1523000
0001558370-19-007667|894405|ARCBEST CORPORATION|US-AR|2019-06-30|166829000
0001551163-19-000210|894560|BIOETHICS, LTD.|US-UT|2019-06-30|27252
0000894627-19-000041|894627|VAALCO Energy, Inc.|US-TX|2019-06-30|8016000
0001493152-21-008388|894871|THEMAVEN, INC.|US-NY|2019-06-30|2271503
0001144204-19-038740|895051|CASI PHARMACEUTICALS, INC.|US-MD|2019-06-30|2321499
0000895126-19-000196|895126|CHESAPEAKE ENERGY CORPORATION|US-OK|2019-06-30|611000000
0001564590-20-042635|895447|SHOE CARNIVAL, INC.|US-IN|2019-08-03|108410000
0000895456-20-000032|895456|ROCKY BRANDS, INC.|US-OH|2019-06-30|20182000
0001193805-19-000624|895464|YUBO INTERNATIONAL BIOTECH LIMITED|CN-|2019-05-31|347000
0001193125-19-220054|895665|Clearday, Inc.|US-TX|2019-06-29|319000
0000896262-19-000011|896262|AMEDISYS INC|US-LA|2019-06-30|35690000
0001562762-19-000169|896264|USANA HEALTH SCIENCES INC|US-UT|2019-06-29|11694000
0001628280-20-013493|896429|CANTALOUPE, INC.|US-PA|2019-06-30|27584000
0001654954-19-009517|896747|AMERICAN BIO MEDICA CORPORATION|US-NY|2019-06-30|555000
0000896841-19-000165|896841|Avid Technology, Inc.|US-MA|2019-06-30|39083000
0000896878-20-000148|896878|INTUIT INC|US-CA|2019-07-31|274000000
0001564590-19-034898|896985|DESTINATION MATERNITY CORP|US-NJ|2019-08-03|21477000
0000897077-19-000127|897077|Alamo Group Inc.|US-TX|2019-06-30|67391000
0001178913-19-002432|897322|Gilat Satellite Networks Ltd.|IL-|2019-06-30|28569000
0000897429-20-000131|897429|Chico's FAS, Inc.|US-FL|2019-08-03|137142000
0001564590-19-027188|897448|AMARIN CORP PLC\UK|IE-|2019-06-30|34018000
0000897723-19-000028|897723|SANMINA CORPORATION|US-CA|2019-06-29|1350117000
0000898173-19-000127|898173|O Reilly Automotive Inc|US-MO|2019-06-30|3516150000
0001193125-19-186025|898293|JABIL INC|US-FL|2019-05-31|4826333000
0001171843-19-004913|898437|Anika Therapeutics, Inc.|US-MA|2019-06-30|2287000
0000898770-20-000065|898770|SHARPS COMPLIANCE CORP|US-TX|2019-06-30|2946000
0001564590-19-030051|899460|MannKind Corporation|US-CA|2019-06-30|7533000
0000899751-19-000053|899751|TITAN INTERNATIONAL, INC.|US-IL|2019-06-30|209422000
0000899923-21-000021|899923|MYRIAD GENETICS, INC.|US-UT|2019-06-30|33300000
0001558370-19-007267|901491|PAPA JOHNS INTERNATIONAL INC|US-KY|2019-06-30|32516000
0000902274-19-000109|902274|LIBBEY INC|US-OH|2019-06-30|79635000
0001564590-19-030127|902791|BARRETT BUSINESS SERVICES, INC.|US-WA|2019-06-30|4824000
0001564590-19-026397|903129|GENTHERM INCORPORATED|US-MI|2019-06-30|84009000
0001144204-19-038490|903651|INNODATA INC|US-NJ|2019-06-30|1833000
0000904979-19-000021|904979|SHILOH INDUSTRIES INC|US-OH|2019-07-31|170175000
0001437749-19-015811|906553|Boyd Gaming Corporation|US-NV|2019-06-30|99841000
0000906709-19-000006|906709|NEKTAR THERAPEUTICS|US-CA|2019-06-30|9346000
0000906780-19-000006|906780|EMPIRE RESORTS INC|US-NY|2019-06-30|11158000
0001558370-19-007498|907242|MONARCH CASINO & RESORT, INC|US-NV|2019-06-30|11501000
0001564590-19-027966|907654|ARCA biopharma, Inc.|US-CO|2019-06-30|254000
0001493152-19-012894|908259|ONCOTELIC THERAPEUTICS, INC.|US-CA|2019-06-30|1183893
0000908315-19-000024|908315|Winmark Corporation|US-MN|2019-06-29|1167400
0001437749-19-015826|909494|TUCOWS INC.|CA-ON|2019-06-30|7590000
0001140361-21-021870|909724|Tandy Leather Factory, Inc.|US-TX|2019-06-30|1544580
0001144204-19-040066|910267|Titan Pharmaceuticals, Inc.|US-CA|2019-06-30|1025000
0000910406-20-000056|910406|THE HAIN CELESTIAL GROUP, INC.|US-NY|2019-06-30|219957000
0000910638-19-000011|910638|3D SYSTEMS CORPORATION|US-SC|2019-06-30|59197000
0000911147-19-000030|911147|CENTURY CASINOS, INC.|US-CO|2019-06-30|4381000
0000911177-19-000037|911177|CASELLA WASTE SYSTEMS, INC.|US-VT|2019-06-30|61731000
0001654954-20-010471|911216|Palatin Technologies, Inc.|US-NJ|2019-06-30|504787
0001140361-19-014472|911649|STANDARD DIVERSIFIED INC.|US-NY|2019-06-30|21132000
0000912061-19-000063|912061|Natural Health Trends Corp.|HK-|2019-06-30|675000
0000912093-20-000057|912093|VIAVI SOLUTIONS INC.|US-AZ|2019-06-29|63400000
0000912463-19-000039|912463|GUESS INC|US-CA|2019-08-03|246492000
0000912562-19-000025|912562|GIBRALTAR INDUSTRIES, INC.|US-NY|2019-06-30|83140000
0000912603-19-000065|912603|SCHNITZER STEEL INDUSTRIES, INC.|US-OR|2019-05-31|100386000
0001564590-20-042978|912615|URBAN OUTFITTERS, INC.|US-PA|2019-07-31|181955000
0000912728-19-000118|912728|FORWARD AIR CORP|US-TN|2019-06-30|30585000
0001628280-19-010364|912766|Laureate Education, Inc.|US-MD|2019-06-30|70908000
0001558370-20-008652|912767|UFP INDUSTRIES, INC.|US-MI|2019-06-29|189649000
0000913142-19-000013|913142|BELDEN INC.|US-MO|2019-06-30|266897000
0001628280-20-011503|913241|STEVEN MADDEN, LTD.|US-NY|2019-06-30|107436000
0000914025-19-000047|914025|Plantronics, Inc.|US-CA|2019-06-30|166618000
0001437749-19-018108|914122|Perma-Pipe International Holdings, Inc.|US-IL|2019-07-31|11084000
0001654954-19-009588|914139|PARKERVISION, INC.|US-FL|2019-06-30|1087000
0001171843-19-005371|914156|UFP TECHNOLOGIES INC|US-MA|2019-06-30|5895000
0001628280-20-014053|914712|Steel Connect, Inc.|US-TN|2019-07-31|85898000
0001437749-19-016234|915778|DSP GROUP, INC.|US-CA|2019-06-30|7990000
0000915779-19-000051|915779|Daktronics, Inc.|US-SD|2019-08-03|57001000
0000915913-19-000078|915913|ALBEMARLE CORPORATION|US-NC|2019-06-30|558839000
0001564590-19-027408|916076|MARTIN MARIETTA MATERIALS, INC.|US-NC|2019-06-30|199181000
0000916365-20-000154|916365|TRACTOR SUPPLY CO /DE/|US-TN|2019-06-29|681529000
0000916457-19-000037|916457|CALPINE CORP|US-TX|2019-06-30|695000000
0000916789-19-000045|916789|HELEN OF TROY LIMITED|US-TX|2019-05-31|139060000
0000917225-19-000011|917225|SOLITARIO ZINC CORP.|US-CO|2019-06-30|667000
0000917273-19-000020|917273|RAMBUS INC|US-CA|2019-06-30|7794000
0001437749-19-015201|917470|OLYMPIC STEEL, INC.|US-OH|2019-06-30|70457000
0000917491-19-000053|917491|FARO TECHNOLOGIES, INC|US-FL|2019-06-30|16177000
0000918160-19-000092|918160|AK STEEL HOLDING CORP|US-OH|2019-06-30|732300000
0001140361-19-014712|918251|MOTORCAR PARTS AMERICA INC|US-CA|2019-06-30|87973000
0001628280-19-010554|918541|NN, Inc.|US-NC|2019-06-30|63500000
0001564590-19-027178|918646|EAGLE MATERIALS INC|US-TX|2019-06-30|83916000
0000918965-20-000023|918965|ScanSource, Inc.|US-SC|2019-06-30|488291000
0001564590-20-042969|919012|American Eagle Outfitters, Inc.|US-PA|2019-08-03|316995000
0000920148-19-000076|920148|LABORATORY CORP OF AMERICA HOLDINGS|US-NC|2019-06-30|531600000
0000920371-20-000113|920371|SIMPSON MANUFACTURING CO INC /CA/|US-CA|2019-06-30|39241000
0001562762-19-000218|920448|BROADVISION INC|US-CA|2019-06-30|317000
0000920465-19-000101|920465|LA JOLLA PHARMACEUTICAL COMPANY|US-MA|2019-06-30|4908000
0001564590-19-030812|921299|FIBROGEN, INC.|US-CA|2019-06-30|4060000
0000921738-19-000035|921738|PENN NATIONAL GAMING, INC.|US-PA|2019-06-30|28350000
0000922224-19-000050|922224|PPL Corporation|US-PA|2019-06-30|830000000
0001493152-19-016682|922330|REGI U S INC|US-WA|2019-07-31|176953
0001558370-20-011490|922358|Ferrellgas Partners L P|US-KS|2019-07-31|33364000
0001628280-19-010762|922521|FALCONSTOR SOFTWARE, INC.|US-TX|2019-06-30|1109862
0001193805-20-001098|922612|SCHMITT INDUSTRIES, INC.|US-OR|2019-05-31|102566
0001558370-19-007211|923571|US XPRESS ENTERPRISES INC|US-TN|2019-06-30|61289000
0001493152-19-012294|923601|SINGING MACHINE CO INC|US-FL|2019-06-30|5944781
0001193125-19-212102|923796|GEO GROUP INC|US-FL|2019-06-30|91257000
0001493152-20-018331|924095|WATERSIDE CAPITAL CORPORATION|US-GA|2019-06-30|7308
0000924168-19-000093|924168|ENERGY FOCUS, INC/DE|US-OH|2019-06-30|2000000
0001437749-19-016400|924383|Genasys Inc.|US-CA|2019-06-30|812536
0001121781-20-000011|924515|GUIDED THERAPEUTICS, INC.|US-GA|2019-06-30|2924000
0001564590-19-027995|924717|Surmodics, Inc|US-MN|2019-06-30|2530000
0001654954-19-009009|924719|SMITH-MIDLAND CORPORATION|US-VA|2019-06-30|2560000
0000924822-19-000031|924822|MILLER INDUSTRIES, INC.|US-TN|2019-06-30|129449000
0000925645-19-000027|925645|CENTRAL EUROPEAN MEDIA ENTERPRISES LTD|CZ-|2019-06-30|56365000
0001548123-19-000175|925660|FLEXPOINT SENSOR SYSTEMS, INC.|US-UT|2019-06-30|284818
0001437749-19-016798|925741|BIOCARDIA, INC.|US-CA|2019-06-30|1626000
0001564590-19-035143|926282|ADTRAN, Inc.|US-AL|2019-06-30|63827000
0000926326-19-000025|926326|OMNICELL, INC.|US-CA|2019-06-30|40183000
0001628280-19-011443|926423|MIND TECHNOLOGY, INC|US-TX|2019-07-31|1977000
0000926617-19-000048|926617|Aspira Women’s Health Inc.|US-TX|2019-06-30|811000
0001558370-19-007077|927003|ADVANCED ENERGY INDUSTRIES INC|US-CO|2019-06-30|37281000
0000927066-19-000133|927066|DAVITA INC.|US-CO|2019-06-30|388955000
0000927653-19-000015|927653|McKESSON CORPORATION|US-TX|2019-06-30|34021000000
0000928054-19-000083|928054|Flotek Industries, Inc.|US-TX|2019-06-30|10858000
0001558370-19-006146|928465|AMCON DISTRIBUTING CO|US-NE|2019-06-30|23403140
0001008886-19-000150|928658|COVENANT LOGISTICS GROUP, INC.|US-TN|2019-06-30|24754000
0001178913-19-001992|928876|TOWER SEMICONDUCTOR LTD.|IL-|2019-06-30|92747000
0000929008-19-000023|929008|WESCO International, Inc.|US-PA|2019-06-30|868605000
0000929940-20-000069|929940|ASPEN TECHNOLOGY, INC.|US-MA|2019-06-30|5891000
0000930420-19-000176|930420|Kforce Inc|US-FL|2019-06-30|20515000
0001079973-19-000465|930775|ENCISION, INC.|US-CO|2019-06-30|437918
0001628280-19-008890|931015|POLARIS INC.|US-MN|2019-06-30|418850000
0001493152-19-019049|931059|Rennova Health, Inc.|US-FL|2019-06-30|12229613
0000931148-19-000031|931148|GRAFTECH INTERNATIONAL LTD.|US-OH|2019-06-30|92642000
0001564590-19-025778|931584|UNIVERSAL STAINLESS & ALLOY PRODUCTS, INC.|US-PA|2019-06-30|33293000
0001493152-20-023967|932021|GLOBAL TECHNOLOGIES, LTD|US-FL|2019-06-30|2028
0000932628-19-000022|932628|AMERIGAS PARTNERS LP|US-PA|2019-06-30|90119000
0001564590-20-042414|933034|STRATTEC SECURITY CORP|US-WI|2019-06-30|41889000
0001493152-19-012227|933738|ENGlobal Corporation|US-TX|2019-06-29|3156000
0001558370-19-006962|933974|Azenta, Inc.|US-MA|2019-06-30|47789000
0000934543-19-000044|934543|AMERICAN CHURCH MORTGAGE COMPANY|US-MN|2019-06-30|203825
0001437749-19-015220|934648|SPEEDWAY MOTORSPORTS INC|US-NC|2019-06-30|15868000
0001628280-19-010452|935036|ACI WORLDWIDE, INC.|US-FL|2019-06-30|46975000
0001493152-19-014494|935419|RCI HOSPITALITY HOLDINGS, INC.|US-TX|2019-06-30|2544000
0000935703-20-000055|935703|DOLLAR TREE, INC.|US-VA|2019-08-03|1455400000
0000936340-19-000214|936340|DTE Energy Co|US-MI|2019-06-30|1051000000
0000936395-19-000040|936395|Ciena Corp|US-MD|2019-07-31|356716000
0001477932-19-004787|936446|AMERINAC HOLDING CORP.|US-OH|2019-06-30|3478306
0000936468-19-000058|936468|LOCKHEED MARTIN CORPORATION|US-MD|2019-06-30|2611000000
0000937556-19-000150|937556|MASIMO CORP|US-CA|2019-06-29|36472000
0001493152-19-011901|937941|PCM, INC.|US-CA|2019-06-30|377862000
0000939767-19-000157|939767|EXELIXIS, INC.|US-CA|2019-06-28|12274000
0000939930-20-000055|939930|Pyxus International, Inc.|US-NC|2019-06-30|85060000
0001564590-19-028375|940942|HUB GROUP, INC.|US-IL|2019-06-30|233399000
0000940944-20-000046|940944|DARDEN RESTAURANTS INC|US-FL|2019-05-26|332600000
0001654954-19-009619|941685|Imageware Systems Inc|US-CA|2019-06-30|552000
0001185185-19-001149|942126|TAITRON COMPONENTS INCORPORATED|US-CA|2019-06-30|453000
0000897101-19-000757|943034|AUTOSCOPE TECHNOLOGIES CORP|US-MN|2019-06-30|426000
0001213900-19-015492|943184|EVER-GLORY INTERNATIONAL GROUP, INC.|CN-|2019-06-30|50352000
0001628280-19-009750|943452|WESTINGHOUSE AIR BRAKE TECHNOLOGIESCORP|US-PA|2019-06-30|1232597000
0000943819-20-000013|943819|RESMED INC|US-CA|2019-06-30|115725000
0001437749-19-015780|943861|GOODRICH PETROLEUM CORPORATION|US-TX|2019-06-30|35897000
0001564590-19-028173|944148|CBIZ, Inc.|US-OH|2019-06-30|87668000
0000944480-19-000069|944480|GSE Systems, Inc.|US-MD|2019-06-30|1879000
0000944809-19-000055|944809|OPKO Health, Inc.|US-FL|2019-06-30|60376000
0000945114-19-000047|945114|Global Industrial Company|US-NY|2019-06-30|116800000
0001654954-19-009465|945384|CICERO INC|US-NC|2019-06-30|983000
0001721868-19-000394|945617|AMERICAN CANNABIS COMPANY, INC.|US-CO|2019-06-30|23888
0000945841-20-000173|945841|POOL CORPORATION|US-LA|2019-06-30|342335000
0001558370-19-007638|945983|Wayside Technology Group, Inc.|US-NJ|2019-06-30|56695000
0001493152-19-012588|946454|BALLANTYNE STRONG, INC.|US-NC|2019-06-30|5089000
0001437749-19-016856|946486|Windtree Therapeutics, Inc.|US-PA|2019-06-30|724000
0001104659-19-045898|946563|Retractable Technologies, Inc.|US-TX|2019-06-30|5053532
0001628280-19-010011|946581|TAKE-TWO INTERACTIVE SOFTWARE, INC.|US-NY|2019-06-30|55379000
0001493152-19-012572|946644|AIM IMMUNOTECH INC.|US-FL|2019-06-30|672000
0001477932-19-004819|946822|ALY ENERGY SERVICES, INC.|US-TX|2019-06-30|1827000
0001564590-19-028369|948708|Smith Micro Software, Inc.|US-PA|2019-06-30|1227000
0001564590-19-028565|949039|DIAMOND OFFSHORE DRILLING, INC.|US-TX|2019-06-30|60533000
0000949158-19-000147|949158|CRAY INC|US-WA|2019-06-30|30098000
0001437749-19-024251|949852|THANKSGIVING COFFEE CO INC|US-CA|2019-06-30|221727
0001564590-19-030879|949858|Achieve Life Sciences, Inc.|CA-BC|2019-06-30|707000
0000950123-19-006635|949870|The Boston Beer Company, Inc.|US-MA|2019-06-29|74906000
0000919574-19-005953|1000177|NORDIC AMERICAN TANKERS Ltd|-|2019-06-30|5493000
0001000228-19-000048|1000228|HENRY SCHEIN INC|US-NY|2019-06-29|745621000
0001564590-19-026214|1000229|CORE LABORATORIES N.V.|NL-|2019-06-30|41995000
0001000623-19-000091|1000623|SCHWEITZER-MAUDUIT INTERNATIONAL, INC.|US-GA|2019-06-30|60900000
0001213900-19-015647|1000683|Blonder Tongue Laboratories, Inc.|US-NJ|2019-06-30|2204000
0001144204-19-038206|1000694|NOVAVAX, INC.|US-MD|2019-06-30|4303000
0001193125-19-208128|1000697|Waters Corporation|US-MA|2019-06-29|67397000
0001000753-19-000027|1000753|INSPERITY, INC.|US-TX|2019-06-30|6548000
0001558370-19-006461|1001082|DISH NETWORK CORPORATION|US-CO|2019-06-30|361048000
0001564590-19-031070|1001115|GEOSPACE TECHNOLOGIES CORP|US-TX|2019-06-30|4700000
0001437749-19-015663|1001385|NORTHWEST PIPE COMPANY|US-WA|2019-06-30|12694000
0001185185-19-001095|1001463|ACACIA DIVERSIFIED HOLDINGS, INC.|US-MD|2019-06-30|113704
0001493152-19-012321|1001601|MGT CAPITAL INVESTMENTS, INC.|US-NC|2019-06-30|409000
